"","drama","length","begin","end","Speaker.figure_surface","Speaker.figure_id","Token.surface","Token.pos","Token.lemma"
"138","r0px.0",25616,2014,2111,"Ottokar, ihr Sohn.",2,"deinen","PPOSAT","dein"
"139","r0px.0",25616,2014,2111,"Ottokar, ihr Sohn.",2,"Fluch","NN","fluch"
"140","r0px.0",25616,2014,2111,"Ottokar, ihr Sohn.",2,"zu","APPR","zu"
"141","r0px.0",25616,2014,2111,"Ottokar, ihr Sohn.",2,"Gott","NN","gott"
"142","r0px.0",25616,2014,2111,"Ottokar, ihr Sohn.",2,",","$,","--"
"143","r0px.0",25616,2014,2111,"Ottokar, ihr Sohn.",2,"Ich","PPER","ich"
"144","r0px.0",25616,2014,2111,"Ottokar, ihr Sohn.",2,"schwöre","VVFIN","schwören"
"145","r0px.0",25616,2014,2111,"Ottokar, ihr Sohn.",2,"Rache","NN","rache"
"146","r0px.0",25616,2014,2111,"Ottokar, ihr Sohn.",2,",","$,","--"
"147","r0px.0",25616,2014,2111,"Ottokar, ihr Sohn.",2,"so","ADV","so"
"148","r0px.0",25616,2014,2111,"Ottokar, ihr Sohn.",2,"wie","KOKOM","wie"
"149","r0px.0",25616,2014,2111,"Ottokar, ihr Sohn.",2,"du","PPER","du"
"150","r0px.0",25616,2014,2111,"Ottokar, ihr Sohn.",2,".","$.","--"
"151","r0px.0",25616,2117,2165,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Den","ART","der"
"152","r0px.0",25616,2117,2165,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Namen","NN","name"
"153","r0px.0",25616,2117,2165,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,",","$,","--"
"154","r0px.0",25616,2117,2165,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Mein","PPOSAT","mein"
"155","r0px.0",25616,2117,2165,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Sohn","NN","sohn"
"156","r0px.0",25616,2117,2165,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,",","$,","--"
"157","r0px.0",25616,2117,2165,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"den","ART","der"
"158","r0px.0",25616,2117,2165,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Namen","NN","name"
"159","r0px.0",25616,2117,2165,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"nenne","VVFIN","nennen"
"160","r0px.0",25616,2117,2165,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,".","$.","--"
"161","r0px.0",25616,2171,2226,"Ottokar, ihr Sohn.",2,"Rache","NN","rache"
"162","r0px.0",25616,2171,2226,"Ottokar, ihr Sohn.",2,"schwör","VVFIN","schwör"
"163","r0px.0",25616,2171,2226,"Ottokar, ihr Sohn.",2,"ich","PPER","ich"
"164","r0px.0",25616,2171,2226,"Ottokar, ihr Sohn.",2,",","$,","--"
"165","r0px.0",25616,2171,2226,"Ottokar, ihr Sohn.",2,"Sylvestern","NN","sylvester"
"166","r0px.0",25616,2171,2226,"Ottokar, ihr Sohn.",2,"Schroffenstein","NE","schroffenstein"
"167","r0px.0",25616,2171,2226,"Ottokar, ihr Sohn.",2,"!","$.","--"
"168","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Nein","PTKANT","nein"
"169","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"irre","PIS","irre"
"170","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"nicht","PTKNEG","nicht"
"171","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,".","$.","--"
"172","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Ein","ART","ein"
"173","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Fluch","NN","fluch"
"174","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,",","$,","--"
"175","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"wie","PWAV","wie"
"176","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"unsrer","ADJD","unsrer"
